# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2026-06-01,AAPL,AAPL260601C00307500,307.5,REAL,3:45 PM,0.36,3:50 PM,0.21,-0.15,-15.0,False,
2026-06-03,AAPL,AAPL260603C00310000,310.0,REAL,3:45 PM,0.72,3:50 PM,0.74,0.02,2.0,True,
2026-06-05,AAPL,AAPL260605C00310000,310.0,REAL,3:45 PM,0.05,3:50 PM,0.05,0.0,0.0,False,
2026-06-08,AAPL,AAPL260608C00305000,305.0,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,0.0,False,
2026-06-10,AAPL,AAPL260610C00292500,292.5,REAL,3:45 PM,0.23,3:50 PM,0.33,0.1,10.0,True,
2025-06-13,NVDA,NVDA250613C00140000,140.0,REAL,3:45 PM,1.61,3:50 PM,1.9,0.29,29.0,True,
2025-06-16,NVDA,NVDA250616C00145000,145.0,SIM,3:45 PM,0.1315,3:50 PM,0.0553,-0.0763,-7.63,False,
2025-06-18,NVDA,NVDA250618C00145000,145.0,SIM,3:45 PM,0.2194,3:50 PM,0.4644,0.2449,24.49,True,
2025-06-20,NVDA,NVDA250620C00145000,145.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
2025-06-23,NVDA,NVDA250623C00145000,145.0,SIM,3:45 PM,0.0073,3:50 PM,0.0082,0.0009,0.09,True,
2025-06-25,NVDA,NVDA250625C00155000,155.0,SIM,3:45 PM,0.0102,3:50 PM,0.0022,-0.008,-0.8,False,
2025-06-27,NVDA,NVDA250627C00155000,155.0,REAL,3:45 PM,2.37,3:50 PM,2.44,0.07,7.0,True,
2025-06-30,NVDA,NVDA250630C00160000,160.0,SIM,3:45 PM,0.0005,3:50 PM,0.0004,-0.0001,-0.01,False,
2025-07-02,NVDA,NVDA250702C00155000,155.0,SIM,3:45 PM,2.0514,3:50 PM,2.1308,0.0794,7.94,True,
2025-07-07,NVDA,NVDA250707C00160000,160.0,SIM,3:45 PM,0.0019,3:50 PM,0.0006,-0.0013,-0.13,False,
2025-07-09,NVDA,NVDA250709C00165000,165.0,SIM,3:45 PM,0.0001,3:50 PM,0.0,-0.0001,-0.01,False,
2025-07-11,NVDA,NVDA250711C00165000,165.0,REAL,3:45 PM,0.14,3:50 PM,0.05,-0.09,-9.0,False,
2025-07-14,NVDA,NVDA250714C00165000,165.0,SIM,3:45 PM,0.0567,3:50 PM,0.0179,-0.0388,-3.88,False,
2025-07-16,NVDA,NVDA250716C00170000,170.0,SIM,3:45 PM,1.2411,3:50 PM,1.2403,-0.0008,-0.08,False,
2025-07-18,NVDA,NVDA250718C00170000,170.0,REAL,3:45 PM,1.97,3:50 PM,2.1,0.13,13.0,True,
2025-07-21,NVDA,NVDA250721C00170000,170.0,SIM,3:45 PM,1.7733,3:50 PM,1.6963,-0.077,-7.7,False,
2025-07-23,NVDA,NVDA250723C00170000,170.0,SIM,3:45 PM,0.5619,3:50 PM,0.5181,-0.0438,-4.38,False,
2025-07-25,NVDA,NVDA250725C00175000,175.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
2025-07-28,NVDA,NVDA250728C00175000,175.0,SIM,3:45 PM,0.9582,3:50 PM,0.9303,-0.0279,-2.79,False,
2025-07-30,NVDA,NVDA250730C00180000,180.0,SIM,3:45 PM,0.0231,3:50 PM,0.0248,0.0017,0.17,True,
2025-08-01,NVDA,NVDA250801C00175000,175.0,REAL,3:45 PM,0.03,3:50 PM,0.06,0.03,3.0,True,
2025-08-04,NVDA,NVDA250804C00180000,180.0,SIM,3:45 PM,0.1063,3:50 PM,0.0932,-0.0132,-1.32,False,
2025-08-06,NVDA,NVDA250806C00180000,180.0,SIM,3:45 PM,0.1601,3:50 PM,0.1048,-0.0553,-5.53,False,
2025-08-08,NVDA,NVDA250808C00185000,185.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
2025-08-11,NVDA,NVDA250811C00185000,185.0,SIM,3:45 PM,0.0001,3:50 PM,0.0,-0.0001,-0.01,False,
2025-08-13,NVDA,NVDA250813C00180000,180.0,SIM,3:45 PM,0.8972,3:50 PM,1.1406,0.2434,24.34,True,
2025-08-15,NVDA,NVDA250815C00180000,180.0,REAL,3:45 PM,0.12,3:50 PM,0.19,0.07,7.0,True,
2025-08-18,NVDA,NVDA250818C00180000,180.0,SIM,3:45 PM,2.2518,3:50 PM,2.2759,0.0241,2.41,True,
2025-08-20,NVDA,NVDA250820C00175000,175.0,SIM,3:45 PM,0.1755,3:50 PM,0.145,-0.0305,-3.05,False,
2025-08-22,NVDA,NVDA250822C00180000,180.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
